epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0738,3.54998,4.40165,3.4152,0.00032,0.0876,0.00025,6e-05,3.78548,3.95237,3.36812,0.00330749,0.00330749,0.0702326
2,32.8006,3.03541,4.25878,3.00592,6e-05,0.01598,3e-05,1e-05,4.26903,21.8006,5.2279,0.00642168,0.00642168,0.0400134
3,45.5155,2.91436,4.30803,2.91025,0.00029,0.07495,0.00026,5e-05,3.48489,3.85974,3.22428,0.00931587,0.00931587,0.00957426
4,58.1856,2.83462,4.22179,2.8898,0.00026,0.07591,0.00017,4e-05,3.43792,3.81648,3.10192,0.00901,0.00901,0.00901
5,70.6053,2.78551,4.17694,2.86274,0.00052,0.10131,0.00044,9e-05,3.47752,3.75701,3.16379,0.00868,0.00868,0.00868
6,83.124,2.73889,4.19364,2.83532,0.0005,0.129,0.00086,0.00019,3.41026,3.86858,3.1126,0.00835,0.00835,0.00835
7,95.6113,2.72946,4.14094,2.78525,0.00112,0.1756,0.00124,0.00028,3.23671,3.7585,2.98044,0.00802,0.00802,0.00802
8,108.006,2.65426,4.04735,2.74356,0.26502,0.00415,0.00303,0.00062,3.38084,3.74673,3.09494,0.00769,0.00769,0.00769
9,120.572,2.60968,4.02571,2.70081,0.0287,0.24916,0.03505,0.0053,3.11077,3.73542,2.86567,0.00736,0.00736,0.00736
10,133.231,2.56054,3.9503,2.62944,0.00398,0.18,0.02217,0.00433,3.25695,3.87599,2.9997,0.00703,0.00703,0.00703
11,145.783,2.49788,3.97934,2.58304,0.00585,0.2348,0.03072,0.015,3.09622,3.70592,2.89263,0.0067,0.0067,0.0067
12,158.198,2.49177,3.87234,2.56893,0.01254,0.23864,0.02448,0.01024,3.08539,3.64932,2.87002,0.00637,0.00637,0.00637
13,172.13,2.46565,3.83759,2.53984,0.64447,0.04899,0.03476,0.01493,2.92223,3.55858,2.67807,0.00604,0.00604,0.00604
14,184.782,2.4153,3.85554,2.50089,0.30873,0.12414,0.03504,0.01466,2.97431,3.59322,2.74729,0.00571,0.00571,0.00571
15,197.765,2.41222,3.77367,2.47495,0.67362,0.03796,0.02849,0.01375,2.95178,3.57212,2.69944,0.00538,0.00538,0.00538
16,210.28,2.37024,3.72747,2.44179,0.59719,0.07415,0.04015,0.01505,2.84131,3.36739,2.60451,0.00505,0.00505,0.00505
17,222.856,2.37749,3.69536,2.44403,0.52689,0.03571,0.05824,0.0205,2.9752,3.45998,2.71873,0.00472,0.00472,0.00472
18,235.366,2.32589,3.62969,2.41437,0.50781,0.1011,0.05267,0.02249,2.90926,3.4606,2.62947,0.00439,0.00439,0.00439
19,248.132,2.31253,3.52194,2.37461,0.46229,0.11388,0.06813,0.02533,2.73037,3.20529,2.52844,0.00406,0.00406,0.00406
20,260.55,2.33691,3.51422,2.3816,0.36882,0.10742,0.04348,0.01406,2.76994,3.19265,2.54213,0.00373,0.00373,0.00373
21,274.109,2.297,3.42383,2.3713,0.4145,0.08742,0.07575,0.02749,2.77653,3.12196,2.531,0.0034,0.0034,0.0034
22,286.613,2.28548,3.29338,2.36845,0.37709,0.11749,0.08104,0.02694,2.81863,3.0943,2.54927,0.00307,0.00307,0.00307
23,299.425,2.26675,3.18025,2.33801,0.44687,0.15248,0.10223,0.03534,2.72591,2.86586,2.4659,0.00274,0.00274,0.00274
24,312.068,2.23072,3.09963,2.3149,0.50676,0.14663,0.10678,0.03922,2.64789,2.89721,2.44165,0.00241,0.00241,0.00241
25,325.004,2.21642,2.96476,2.31523,0.40822,0.1447,0.10778,0.03997,2.68888,2.79171,2.45164,0.00208,0.00208,0.00208
26,337.361,2.18816,2.90765,2.29409,0.5562,0.15177,0.11235,0.03943,2.79727,2.80401,2.5195,0.00175,0.00175,0.00175
27,350.63,2.17541,2.84542,2.2817,0.40882,0.16907,0.06651,0.02174,2.75739,2.88274,2.49353,0.00142,0.00142,0.00142
28,363.164,2.17277,2.85562,2.24888,0.413,0.13227,0.10337,0.04206,2.60749,2.71625,2.38429,0.00109,0.00109,0.00109
29,375.946,2.13575,2.78064,2.22616,0.43586,0.16204,0.10153,0.03941,2.6291,2.70662,2.39817,0.00076,0.00076,0.00076
30,388.425,2.13029,2.74824,2.23065,0.43096,0.15694,0.10361,0.04035,2.62191,2.68053,2.39811,0.00043,0.00043,0.00043
